render_frame,sim_time,contacts,contact_force_sum,contact_force_peak
0,0.04000000000000002,0,0.0,0.0
1,0.08000000000000006,0,0.0,0.0
2,0.12000000000000009,0,0.0,0.0
3,0.16000000000000011,0,0.0,0.0
4,0.20000000000000015,0,0.0,0.0
5,0.24000000000000019,0,0.0,0.0
6,0.2800000000000002,0,0.0,0.0
7,0.32000000000000023,2,5.669606831416372,4.901241469352946
8,0.36000000000000026,2,1.7657600944108003,0.9184976537075276
9,0.4000000000000003,0,0.0,0.0
10,0.44000000000000034,0,0.0,0.0
11,0.48000000000000037,0,0.0,0.0
12,0.5200000000000004,0,0.0,0.0
13,0.5600000000000004,1,12.919551882131758,12.919551882131758
14,0.6000000000000004,0,0.0,0.0
15,0.6400000000000005,0,0.0,0.0
16,0.6800000000000005,0,0.0,0.0
17,0.7200000000000005,0,0.0,0.0
18,0.7600000000000006,0,0.0,0.0
19,0.8000000000000006,0,0.0,0.0
20,0.8400000000000006,0,0.0,0.0
21,0.8800000000000007,0,0.0,0.0
22,0.9200000000000007,0,0.0,0.0
23,0.9600000000000007,0,0.0,0.0
24,1.0000000000000007,0,0.0,0.0
25,1.0400000000000007,0,0.0,0.0
26,1.0800000000000007,0,0.0,0.0
27,1.1200000000000008,0,0.0,0.0
28,1.1600000000000008,0,0.0,0.0
29,1.2000000000000008,0,0.0,0.0
30,1.2400000000000009,0,0.0,0.0
31,1.280000000000001,0,0.0,0.0
32,1.320000000000001,0,0.0,0.0
33,1.360000000000001,0,0.0,0.0
34,1.400000000000001,0,0.0,0.0
35,1.440000000000001,0,0.0,0.0
36,1.480000000000001,0,0.0,0.0
37,1.5200000000000011,0,0.0,0.0
38,1.5600000000000012,0,0.0,0.0
39,1.6000000000000012,0,0.0,0.0
40,1.6400000000000012,1,1.4457257229373375,1.4457257229373375
41,1.6800000000000013,10,57.26063038335335,56.63198156841198
42,1.7200000000000013,10,36.84844209637795,15.01876901381785
43,1.7600000000000013,6,18.187298669076096,9.412387816981022
44,1.8000000000000014,5,37.804338317164714,19.92048148046118
45,1.8400000000000014,7,30.763025119420895,13.730123391163605
46,1.8800000000000014,6,25.600474968774414,9.89412309742695
47,1.9200000000000015,5,25.83817264839662,9.797390742626414
48,1.9600000000000015,5,26.904737544416157,10.393382694872123
49,2.0000000000000013,8,50.350469974599775,21.708474421198243
50,2.039999999999997,9,85.04996506099947,34.265745530071406
51,2.0799999999999925,7,87.91940166106018,41.67262398596759
52,2.119999999999988,4,61.298526161977705,41.69673777656032
53,2.1599999999999837,5,38.91495742359134,15.63365507303446
54,2.1999999999999793,7,66.48281869429388,17.47601787216564
55,2.239999999999975,8,73.59602381804945,20.78175021714227
56,2.2799999999999705,6,41.98653808547927,11.427850356556677
57,2.319999999999966,3,4.646693844594194,4.646693844594194
58,2.3599999999999617,3,5.212259764295716,3.8185803622001995
59,2.3999999999999573,0,0.0,0.0
60,2.439999999999953,0,0.0,0.0
61,2.4799999999999485,0,0.0,0.0
62,2.519999999999944,1,1.9882620213625892,1.9882620213625892
63,2.5599999999999397,1,33.74388592886455,33.74388592886455
64,2.5999999999999353,1,2.2415773672180492,2.2415773672180492
65,2.639999999999931,1,0.4504363291388668,0.4504363291388668
66,2.6799999999999264,1,0.029877491109757542,0.029877491109757542
67,2.719999999999922,0,0.0,0.0
68,2.7599999999999176,0,0.0,0.0
69,2.7999999999999132,0,0.0,0.0
70,2.839999999999909,0,0.0,0.0
71,2.8799999999999044,0,0.0,0.0
72,2.9199999999999,0,0.0,0.0
73,2.9599999999998956,0,0.0,0.0
74,2.999999999999891,0,0.0,0.0
75,3.039999999999887,0,0.0,0.0
76,3.0799999999998824,0,0.0,0.0
77,3.119999999999878,1,0.6856921106277264,0.6856921106277264
78,3.1599999999998736,2,51.03770112166299,25.95245916208175
79,3.199999999999869,2,35.30232044053204,18.360109769100745
80,3.2399999999998648,0,0.0,0.0
81,3.2799999999998604,0,0.0,0.0
82,3.319999999999856,0,0.0,0.0
83,3.3599999999998515,7,60.81311120650611,55.38613708551301
84,3.399999999999847,6,21.228206354471,14.605999661929655
85,3.4399999999998427,2,18.892967145305512,18.609336095716458
86,3.4799999999998383,1,17.471181024394614,17.471181024394614
87,3.519999999999834,5,21.861142424447777,15.303152362034632
88,3.5599999999998295,3,21.174861431063746,21.174861431063746
89,3.599999999999825,4,59.91109249657481,59.91109249657481
90,3.6399999999998207,0,0.0,0.0
91,3.6799999999998163,0,0.0,0.0
92,3.719999999999812,0,0.0,0.0
93,3.7599999999998075,1,51.26390282522827,51.26390282522827
94,3.799999999999803,0,0.0,0.0
95,3.8399999999997987,0,0.0,0.0
96,3.8799999999997943,0,0.0,0.0
97,3.91999999999979,0,0.0,0.0
98,3.9599999999997855,0,0.0,0.0
99,3.999999999999781,1,0.5040174994185883,0.5040174994185883
100,4.039999999999777,0,0.0,0.0
101,4.079999999999773,1,0.655783517665471,0.655783517665471
102,4.119999999999768,1,0.7399972831483037,0.7399972831483037
103,4.159999999999764,1,0.7149149533638598,0.7149149533638598
104,4.1999999999997595,1,0.7398804365444267,0.7398804365444267
105,4.239999999999755,1,0.6452501759727025,0.6452501759727025
106,4.279999999999751,1,0.4202396254911395,0.4202396254911395
107,4.319999999999746,1,0.3086756317648258,0.3086756317648258
108,4.359999999999742,1,0.304175778364488,0.304175778364488
109,4.3999999999997375,1,0.2738422266749395,0.2738422266749395
110,4.439999999999733,1,0.2227669737893762,0.2227669737893762
111,4.479999999999729,1,0.06993061829588347,0.06993061829588347
112,4.519999999999724,1,0.04998945874825264,0.04998945874825264
113,4.55999999999972,1,0.06076875805065803,0.06076875805065803
114,4.599999999999715,1,0.0828274187300534,0.0828274187300534
115,4.639999999999711,1,0.0963458239069077,0.0963458239069077
116,4.679999999999707,1,0.10551897996330464,0.10551897996330464
117,4.719999999999702,1,0.11166340680979585,0.11166340680979585
